protein;smth
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
Q5QNW6;H2B2F_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
P62807;H2B1C_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q99879;H2B1M_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q93079;H2B1H_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
Q99877;H2B1N_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
P58876;H2B1D_HUMAN
