gene protein(ms) uniprot
B2M P61769 P61769 
CALR P27797 P27797
EEF1A1 P68104 P68104
EEF1A1 P68104 P68104
EEF1A1 P68104 P68104
EEF1A1 P68104 P68104
EEF1A1 P68104 P68104
EEF1A1 P68104 P68104
HSP90AB1 P08238 P08238
HSP90B1 P14625 P14625
PGK1 P00558-2 P00558
PGK1 P00558-2 P00558
PGK1 P00558 P00558
PGK1 P00558 P00558
RPL6 Q02878 Q02878
RPL6 Q02878 Q02878
RPS13 P62277 P62277
TF P02787 P02787
VIM P08670 P08670
VIM P08670 P08670
VIM P08670 P08670
VIM P08670 P08670
VIM P08670 P08670
VIM P08670 P08670
VIM P08670 P08670
VIM P08670 P08670
